1,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Algeria,866000000,1231000000,1542000000,2059000000,2396000000,2869000000,3253000000,4168000000,5346000000,5994000000,6796000000,7732000000,8785000000,9554000000,10482000000,11533000000,11123000000,12676000000,13972000000,15095000000,16302000000,17312000000,18432000000,18967000000,18867000000,19775000000,20595000000,22245000000,23877000000,24585000000,25781000000,26994000000,28619000000,30312000000,32643000000,34258000000,36176000000
3,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Argentina,5417000000,5868000000,6543000000,6513000000,7301000000,7757000000,8038000000,6653000000,7416000000,8744000000,8711000000,10234000000,10502000000,11046000000,12425000000,13273000000,12532000000,21075000000,24320000000,19873000000,21002000000,20820000000,21543000000,20223000000,26477000000,32396000000,32019000000,34092000000,45571000000,48611000000,43007000000,40275000000,47594000000,54897000000,55332000000,57755000000,62528000000
5,Armenia,,,,,,,,,,,,,,,,,,,,1700000000,2670000000,2060000000,1456000000,1508000000,2913000000,2191000000,3013000000,3065000000,2439000000,2692000000,2790000000,1579000000,1521000000,1831000000,1828000000,1476000000,1489000000
6,Australia,1734000000,1935000000,2751000000,3632000000,2944000000,3555000000,4126000000,5481000000,6233000000,6976000000,9508000000,10171000000,9996000000,11791000000,11501000000,13784000000,13989000000,14718000000,15128000000,16359000000,12872000000,16451000000,17377000000,17279000000,19947000000,17422000000,16346000000,20358000000,24119000000,26178000000,26322000000,30716000000,31536000000,32607000000,32223000000,30558000000,39166000000
7,Austria,4583000000,4369000000,4427000000,4580000000,4545000000,5538000000,5608000000,5411000000,4805000000,3824000000,3360000000,4143000000,3421000000,4684000000,4965000000,5094000000,5664000000,5713000000,6537000000,7720000000,7467000000,6628000000,6780000000,8656000000,8913000000,9404000000,8281000000,8868000000,9530000000,7777000000,8673000000,9370000000,11106000000,10944000000,13014000000,10670000000,9871000000
8,Azerbaijan,,,,,,,,,,,,,,,,,,,,0,0,0,100000000,3219000000,3167000000,3176000000,3120000000,3553000000,3556000000,3711000000,11265000000,11731000000,11218000000,12741000000,12337000000,14983000000,18047000000
9,Bahrain,430000000,450000000,500000000,575000000,700000000,900000000,1110000000,1212000000,1474000000,1660000000,1814000000,2009000000,2216000000,2187000000,2637000000,2892000000,2996000000,3162000000,3294000000,3482000000,3320000000,3896000000,4245000000,4550000000,4612000000,5016000000,5040000000,5773000000,5956000000,6297000000,6779000000,7278000000,7768000000,8448000000,8867000000,9141000000,10566000000
10,Bangladesh,411000000,411000000,487000000,749000000,660000000,695000000,900000000,962000000,1096000000,1144000000,1343000000,1758000000,2139000000,2334000000,2909000000,3032000000,4229000000,5075000000,5612000000,6515000000,7286000000,7702000000,7973000000,8281000000,9512000000,9994000000,10021000000,10896000000,12278000000,13794000000,15227000000,16341000000,17257000000,18793000000,19824000000,21305000000,21343000000
